,ID,Gas,Sector,Unit,2022,2021,2020,2019,2018,2017,2016,2015,Data source,Country,Created
72,AGO,ch4,road-transportation,tonnes,1341.1852959999999,1341.1852959999999,1250.0017930000001,1371.203258,1251.5411510000001,1227.352411,1502.613534,1585.0452799999998,climate-trace,Angola,2023-10-06T14:56:32.942934
73,AGO,ch4,solid-fuel-transformation,tonnes,114177.0393,114177.0393,114177.0393,110737.7052,109304.9317,107854.40269999999,106269.2416,104741.56499999999,climate-trace,Angola,2023-10-06T14:56:32.942934
74,AGO,ch4,wastewater-treatment-and-discharge,tonnes,169313.39132666588,164566.2136,159855.8183,155169.3162,150620.5182,145724.8536,140960.014,136303.842,climate-trace,Angola,2023-10-06T14:56:32.942934
75,AGO,co2,other-energy-use,tonnes,4689392.941933334,1791903.324,1400458.0560000008,1642129.5069999993,2003468.9640000002,1997508.85,-2138737.041,-67037.55399999954,climate-trace,Angola,2023-10-06T14:56:32.942934
76,AGO,co2,other-fossil-fuel-operations,tonnes,4993421.785,-8553246.340300001,-9733183.3616,-10994140.135900002,-11309917.691400003,-10860989.272499997,-11662716.9174,-12751667.7503,climate-trace,Angola,2023-10-06T14:56:32.942934
77,AGO,co2,other-manufacturing,tonnes,2503858.4034706787,0.0,1436684.140225,1598647.168273,1317022.5563090001,1545062.5961419998,2732297.8237540005,2484746.0275499998,climate-trace,Angola,2023-10-06T14:56:32.942934
78,AGO,co2,other-onsite-fuel-usage,tonnes,13303.66955,13303.66955,12399.189610000001,13601.42784,13362.349769999999,13306.348440000002,15523.061399999999,18627.90237,climate-trace,Angola,2023-10-06T14:56:32.942934
79,AGO,co2,other-transport,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Angola,2023-10-06T14:56:32.942934
80,AGO,co2,residential-and-commercial-onsite-fuel-usage,tonnes,3500731.594,3500731.594,3262726.473,3579083.8,3257421.128,3515442.501,4354469.692,4889432.436,climate-trace,Angola,2023-10-06T14:56:32.942934
81,AGO,co2,road-transportation,tonnes,7704187.112,7704187.112,7180400.603,7876619.658,6844881.9350000005,6552922.566000001,7740854.467,7778477.490999999,climate-trace,Angola,2023-10-06T14:56:32.942934
82,AGO,co2,solid-fuel-transformation,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Angola,2023-10-06T14:56:32.942934
83,AGO,hfc-125,fluorinated-gases,tonnes,28.059576,28.059576,26.054636,24.192954,22.340894,20.337389,18.607908,16.784715,climate-trace,Angola,2023-10-06T14:56:32.942934
84,AGO,hfc-134a,fluorinated-gases,tonnes,192.072201,192.072201,174.46588,158.473445,142.389412,124.51446700000001,110.49613799999999,94.137314,climate-trace,Angola,2023-10-06T14:56:32.942934
85,AGO,hfc-143a,fluorinated-gases,tonnes,27.945695999999998,27.945695999999998,24.996787,22.359056,19.863734,16.875278,14.445861,12.377769,climate-trace,Angola,2023-10-06T14:56:32.942934
86,AGO,hfc-152a,fluorinated-gases,tonnes,49.762973,49.762973,47.626414,45.581587,44.068138,42.14524,39.447107,39.52779,climate-trace,Angola,2023-10-06T14:56:32.942934
87,AGO,hfc-227ea,fluorinated-gases,tonnes,4.503185,4.503185,4.341861,4.186316,4.029001,3.842697,3.719682,3.5570559999999998,climate-trace,Angola,2023-10-06T14:56:32.942934
88,AGO,n2o,manure-management-other,tonnes,1755.9,1755.9,1755.9,1664.8,1568.4,1469.5,1369.3,1484.1,climate-trace,Angola,2023-10-06T14:56:32.942934
89,AGO,n2o,other-agricultural-soil-emissions,tonnes,12353.6,12353.6,12353.6,12225.6,12043.099999999999,11810.400000000001,11694.8,11580.1,climate-trace,Angola,2023-10-06T14:56:32.942934
90,AGO,n2o,other-energy-use,tonnes,28.786286133333306,30.210951,28.041612,30.565024,30.181188000000002,30.743593,31.512119999999996,47.200379,climate-trace,Angola,2023-10-06T14:56:32.942934
91,AGO,n2o,other-fossil-fuel-operations,tonnes,55.125916,51.07261758799999,53.766145815,66.086496692,78.785867467,106.923613171,124.76277998799999,116.643780824,climate-trace,Angola,2023-10-06T14:56:32.942934
