Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
France,2.H.1  Pulp and Paper,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043727954,0.043870008,0.044866924,0.060192404,0.066429668,0.063142473,0.055308618,0.063955961,0.102771072,0.116168311
France,2.H.2  Food and Beverages Industry,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Germany,"1.A.2.d  Pulp, Paper and Print",3.64695813,4.71201044,7.88496532,9.807707,12.51937632,6.86900184,10.18895017,7.66150767,10.1887921,13.12218027,13.93685942,14.79689114,14.05343103,15.52851016,14.82149304,15.98548464,13.87449247,16.80458984,17.60817515,8.33331764,9.47144276,14.67491632,16.1018838,7.79012156,7.1995036,4.09121492,4.40161268,3.85410552,6.5528416,4.35850188,7.8030548,10.78201108
Germany,"1.A.2.e  Food Processing, Beverages and Tobacco",2015.909437,1898.590342,2216.788356,2082.129922,1971.661344,1805.112611,1802.42483,1619.731832,1669.49021,1189.477045,1485.077507,1473.982155,369.4030385,478.7159901,608.2049737,148.4338809,70.10372167,153.7076625,167.3893714,240.5947985,179.5730413,237.2477971,262.0141737,164.8974721,202.0755046,175.8767738,168.2497551,187.1332499,198.8376933,194.7579261,160.8501886,149.8980904
Germany,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,"1.A.2.d  Pulp, Paper and Print",306.0454,291.467144,284.2770013,268.6173109,253.3754728,213.1768447,292.3380367,343.7223677,308.6796176,317.6107189,377.2817641,347.1315112,357.171857,367.5352727,254.0957943,231.0130804,270.7750004,257.4746364,241.5479623,198.5816841,179.8053888,151.7455124,118.9880132,138.3434538,133.2356098,104.3705893,79.65935395,76.89376258,91.27948197,92.92503217,84.32834141,86.44979777
Greece,"1.A.2.e  Food Processing, Beverages and Tobacco",916.84255,942.5136985,951.7905376,970.2088521,929.8405243,946.1980197,1016.371671,983.5191892,1069.944763,972.3488057,1096.771338,1002.000635,1047.874562,1100.608929,882.9763134,797.0496336,854.1886369,711.11666,657.4340623,592.8764176,502.9023491,404.0552673,510.7731904,568.3519167,645.7903616,620.3858867,630.3385405,636.6589118,607.5153351,580.7759195,555.0068062,611.4462277
Greece,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,"1.A.2.d  Pulp, Paper and Print",73.82461316,63.63669782,251.6012584,220.2062751,234.4677836,225.6135028,232.788479,216.8193393,227.6240707,225.5718914,194.766826,215.2360926,257.5964993,282.86684,211.35978,200.79578,210.65234,221.72362,196.94606,147.06433,158.08901,159.26562,155.96014,192.68174,195.45374,145.02367,424.387273,478.1046538,423.0041784,469.2067345,416.7432473,380.2779432
Hungary,"1.A.2.e  Food Processing, Beverages and Tobacco",2028.94054,2105.039892,1634.44776,1486.11389,1407.070789,1409.503765,1525.090914,1276.404918,1258.649757,1057.113869,857.96487,1114.99994,1188.98577,979.6239519,993.6562635,804.1288046,789.43781,672.362388,715.92886,610.91561,634.68476,630.70254,563.45084,699.0521584,728.78366,750.724644,717.712868,757.764338,860.349135,798.385034,841.253646,867.917166
Hungary,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hungary,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Iceland,"1.A.2.d  Pulp, Paper and Print",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Iceland,"1.A.2.e  Food Processing, Beverages and Tobacco",128.2407895,67.84456301,143.9626245,161.337909,146.925706,151.7141456,200.5513164,208.0814564,157.4683997,159.40628,113.6848082,145.866123,165.8794252,124.8557502,95.97820863,67.02252671,62.58103016,66.4815717,81.05932729,71.64702125,54.77856583,57.09368832,66.34822676,50.11856723,19.72050661,43.86693743,43.44425464,20.22837416,25.94090489,15.155944,15.6403494,22.23994852
Iceland,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
